Variable,scaled_dropout_loss,scaled_shap_importance,scaled_composite_variable_importance_score
Area,0.19779955460369356,0.6366466631332411,0.22434433274599663
DensityBand,0.2171884549065746,0.7180979783333953,0.24730744184690676
DrivAgeBand,1,0.589700113259686,1
Region,0.35400347180914,0.5973966044012657,0.3738425053182867
VehAgeBand,0.9201541590079468,0.8105588610252072,0.9338319513014841
VehBrand,0.4118638275276469,0.3943163928124099,0.419594433213095
VehGas,0,0,0
VehPower,0.8928642712375255,1,0.9170340050970665
